Tool Name,ZKP Class,Tool Input,Pipeline stages with grammar,Primary Analysis Approach,Targeted Vulnerabilities,Security Guarantees,Actively Maintained,Last Major Update,License,Tool References,Developers,Developers Ref,Usability,Kinds of Output,Academic References (if any),Brief Description
Ecne,ZK-SNARKs,R1CS,(1)=(2)=(3)-(4)=(5)=(6),static analysis,under-constrained circuits,,Stale,May 2022,GPLv3,"https://github.com/franklynwang/EcneProject
https://0xparc.org/blog/ecne ",0xPARC,https://0xparc.org/,1,Textual output,none,"Ecne is a library and CLI tool that performs a static analysis on R1CS constraint systems. Given an unoptimized R1CS, obtained, e.g., by compiling a circom circuit with option \verb|-O0|, the tool produces a report on the command line detailing whether the R1CS is underconstrained. Interestingly, in addition to a CLI interface and library APIs, Ecne also provides a REST API for invoking its analysis. Technically, the tool repeatedly applies nine specialized rules to (a slightly modified version of) the given R1CS system to check if all the variables therein are uniquely determined by the inputs. As of December 2025, the source code of Ecne is available on GitHub\footnote{https://github.com/franklynwang/EcneProject} under the GPLv3 licence, however the tool seems to be unmaintained and the documentation is scarce. "
Coda,ZK-SNARKs,Coda,[1]-[2]-[3]=(4)=(5)=(6),"static analysis, proof assistant",incorrect logic/semantics,"completeness (of analysis), soundness (of analysis), determinism - always same output",Stale,Jun 2023,MIT,https://github.com/Veridise/Coda,"Polychain Capital
Veridise
Simon Fraser University
University of California
UT Austin
Axiom","https://veridise.com/
https://polychain.capital/",1,Rocq interactions,"https://ieeexplore.ieee.org/document/10646715
https://eprint.iacr.org/2023/547

\cite{liu_certifying_2024}","Coda is a functional programming language embedded in OCaml and endowed with a refinement type system, which is used to write the circuit specification. Intuitively, if a Coda circuit typechecks its semantics is equivalent to that specified by the type of said circuit. Being the type checking of Coda intractable, some of the constraints generated during type checking are translated into Rocq lemmas and need to be proved separately, using a library of tactics provided by Coda to ease proof automation. Coda also ships with a compiler that produces R1CS files compatible with different backends. As of December 2025, Coda is open source and available on GitHub\footnote{https://github.com/Veridise/Coda}, but apparently not maintained anymore. The documentation for the tool is rather scarce, but the paper by~\citet{liu_certifying_2024} gives a detailed account of the theory and the evaluation methodology of the tool."
Rocq-of-Noir,ZK-SNARKs,Noir,[1]=(2)=(3)=(4)=(5)=(6),proof assistant,incorrect logic/semantics,"determinism - always same output, soundness (of analysis), completeness (of analysis)",Yes,May 2025,"Apache v2.0, MIT","https://github.com/formal-land/rocq-of-noir
https://formal.land/blog/2024/11/01/tool-for-noir-1
https://formal.land/blog/2024/11/15/tool-for-noir-2",Formal Land,https://formal.land/,1,"Rocq code
No proof of equivalence",none,"Rocq-of-Noir is a tool developed by Formal lands that translates Noir smart contracts into Rocq code. Rocq-of-noir provides a semantics of Noir in Rocq and tools for reasoning about programs. The tool is documented, provides installation instructions, code examples and a 2-part tutorial for getting started with Noir verification. However, verifying non trivial examples requires a significant amount of work and expertise in Rocq and formal verification. As of november 2025, Rocq-of-Noir seems maintaned and is open source under dual-licensing, MIT and Apache 2.0."
Lampe,ZK-SNARKs,Noir,[1]=(2)=(3)=(4)=(5)=(6),proof assistant,incorrect logic/semantics,"determinism - always same output, soundness (of analysis), completeness (of analysis)",Yes,Feb 2026,Apache v2.0,https://github.com/reilabs/lampe,Reilabs,https://reilabs.io/,1,"Rocq code
No proof of equivalence",none,"Lampe implements a model of the Noir language within the Lean4, with the aim of supporting the verification efforts of the Noir language itself and its programs. In its current form Lampe can automatically extract a Lean4 model corresponding to the given Noir program, whose correctness wrt some specification can be then established within Lean4. Currently, however, the project does not seem to provide automation facilities like others and seem to rely entirely on the abilities of the proof engineer. Lampe is currently maintained and released under the Apache 2.0 licence, its source code is available on GitHub\footnote{https://github.com/reilabs/lampe}. The repository also includes installation instructions and usage examples."
gnark-lean-extractor,ZK-SNARKs,gnark,[1]=(2)=(3)=(4)=(5)=(6),proof assistant,incorrect logic/semantics,"determinism - always same output, soundness (of analysis), completeness (of analysis)",Stale,Sep 2023,Apache v2.0,https://github.com/reilabs/gnark-lean-extractor,Reilabs,https://reilabs.io/,1,"Lean4 code
No proof of equivalence",none,"The gnark-lean-extractor compiles circuits from gnark to Lean4, enabling their formal verification in an interactive environment. The extractor presents itself as a Go library that integrates directly with gnark and provides a function \verb|CircuitToLean| that returns a string containing the circuit in a Lean4-compatible format using Reilabs' ProvenZK library.\footnote{https://github.com/reilabs/proven-zk} The tool is documented and based on well known libraries, released under an Apache 2.0 licence. The code is available on GitHub\footnote{https://github.com/reilabs/gnark-lean-extractor}."
CMSCGD,ZK-SNARKs,R1CS ,(1)=(2)=[3]=(4)=(5)=(6),proof assistant,incorrect logic/semantics,"determinism - always same output, soundness (of analysis), completeness (of analysis)",N/A,N/A,closed-source,none ,"Aleo Systems
Kestrel Institute","https://aleo.org/
https://www.kestrel.edu/",0,ACL interactions,"https://eprint.iacr.org/2023/1278

\cite{coglio_compositional_2023}","The tool report~\cite{coglio_compositional_2023} reports the experience of the authors in formally verifying the R1CS constraint systems generated by the Aleo's SnarkVM\footnote{https://github.com/ProvableHQ/snarkVM} using the ACL2 prover. More in detail, they formalize SnarkVM R1CS constructions and prove that they adhere the given specifications. One of the most interesting aspects of their work is that their approach is compositional and, once proved correct, many ``components'' can be assembled together into larger ones, composing their correctness proofs. Apparently, their development is not open source, and only sketched in the paper."
CMS,ZK-SNARKs,R1CS,(1)=(2)=[3]=(4)=(5)=(6),proof assistant,incorrect logic/semantics,"determinism - always same output, soundness (of analysis), completeness (of analysis)",Stale,Oct 2024,BSD,"https://www.cs.utexas.edu/~moore/acl2/v8-5/combined-manual/?topic=R1CS____R1CS-VERIFICATION-WITH-AXE
https://www.cs.utexas.edu/~moore/acl2/v8-5/combined-manual/?topic=R1CS____R1CS https://github.com/acl2/acl2/tree/master/books/kestrel/axe/r1cs ","Aleo Systems
Kestrel Institute","https://aleo.org/
https://www.kestrel.edu/",2,ACL interactions,"https://arxiv.org/abs/2311.08858 (part of the ACL2-2023 proceedings)

\cite{coglio_formal_2023}","\citet{CMS} is a report collecting various experiences of the authors on mechanizing zero-knowledge verification with the ACL2 proof assistant. Their contributions include the formalization of finite-field arithmetic in ACL2, formalization of (a generalization of) R1CS constraints, facilities for proving constraints correctness with respect to a specification, and an integration with the Axe toolkit\footnote{https://www.kestrel.edu/research/axe/} within ACL2. With this infrastructure in place they were able to discover two new bugs and several optimizations in a zero-knowledge circuit construction library. The development is available as part of the Axe toolkit, and very well documented. "
garden,"ZK-SNARKs, ZK-STARKs",Garden,[1]=(2)=(3)=(4)=(5)=(6),proof assistant,"under-constrained circuits, over-constrained circuits (unsatisfiable), incorrect logic/semantics","determinism - always same output, completeness (of analysis), soundness (of analysis)",Yes,Nov 2025,MIT,"https://github.com/formal-land/garden
https://formal.land/blog/2025/08/12/verification-of-zkvm
",Formal Land,https://formal.land/,1,Rocq interactions,none,"Garden is a formal verification framework within the Rocq proof assistant that allows to prove determinism, functional correctness, and completeness of circuits expressed in Garden itself. The translation of a circuit into the Garden's formalism is done by hand and it should be manually proved to be faithful to the original code. As usual with these systems all the proofs are checked by Rocq and can be assumed to be correct as long as the Rocq kernel is correct and no invalid axioms have been introduced. The whole development is open source, available on GitHub\footnote{https://github.com/formal-land/garden} and released under MIT licence by Formal Land. The repository includes build instructions and some examples on how to formally verify a circuit. "
circom-mutator,ZK-SNARKs,Circom,(1)=[2]=(3)=(4)=(5)=(6),fuzzing and metamorphic/mutation testing,"incorrect logic/semantics, under-constrained circuits",randomized - output may vary,Stale,Jul 2023,MIT,https://github.com/aviggiano/circom-mutator,Antonio Viggiano,https://github.com/aviggiano,1,Failing tests,none,"Circom-mutator\footnote{https://github.com/aviggiano/circom-mutator} is a mutation testing tool that targets Circom circuits. In particular it generates mutations of the given circuit by rewriting (parts of) it, line-by-line, in order to generate mutations that are intended to make circuit tests fail. The repository includes some documentation and an example of usage, and the whole project is released under the MIT open source licence. Unfortunately, circom-mutator appears to be unmaintained as of November 2025."
CCC-check,ZK-SNARKs,CirC,(1)=(2)=[3]=(4)=(5)=(6),static analysis,"under-constrained circuits, over-constrained circuits (unsatisfiable), under- and overflows, input validation errors, incorrect logic/semantics","soundness (of analysis), determinism - always same output",Yes,Feb 2026,MIT,https://github.com/ArmanKolozyan/CCC-Check,"Vrije Universiteit Brussel
Nokia Bell Labs
UCL Centre for Blockchain Technologies
zkSecurity",,1,Textual output,"https://eprint.iacr.org/2025/2120

\cite{kolozyan_language_2025}","CCC-check is a language-agnostic static analyzer. It takes as inputs circuits written in the CirC intermediate representation and uses  abstract interpretation to detect bugs, including input validation errors (e.g., division-by-zero, array bounds errors), underconstrainedness and some others. The tool is released under the MIT licence and it is maintained."
Horus,ZK-STARKs,Cairo,[1]=[2]=(3)=(4)=(5)=(6),SMT/constraint solving,incorrect logic/semantics,soundness (of analysis),Stale,Mar 2023,AGPLv3,https://github.com/NethermindEth/horus-checker,Nethermind,https://www.nethermind.io/,2,Json output,,"Horus is a command-line analysis tool for Cairo programs targeting the StarkNet smart-contract ecosystem. Horus expects developers to add annotations (e.g. pre- and post-conditions, storage updates) that describe intended behaviours to Cairo programs. The Horus compiler then produces a specification file plus a compiled contract, and the Horus checker uses SMT solvers (like z3 or cvc5) to attempt to verify that the implementation obeys those annotations --- or else produce a counterexample (or runs out of time).
It is more focused on the program than the ZKP."
Medjai,ZK-STARKs,"Cairo
[V]",[1]=[2]=(3)=(4)=(5)=(6),symbolic execution,"under- and overflows, incorrect logic/semantics",,Stale,Sep 2022,GPLv3,"https://github.com/Veridise/Medjai
https://medium.com/veridise/medjai-protecting-cairo-code-from-bugs-d82ec852cd45",Veridise,https://veridise.com/,2,Textual output,,"Medjai is an analysis tool for reasoning about Cairo programs based on symbolic execution. Developers express intended correctness properties via integrated Cairo or [V] specifications\footnote{Veridise/V: semantics and tooling for the [V] specification language. (\url{https://github.com/Veridise/V})}. Then, Medjai uses symbolic execution to explore all possible program states plus \gls{smt} solving to either prove those properties or produce counterexamples --- and also find concrete inputs that can crash Cairo programs.
It is more focused on the program than the ZKP."
Sierra Analyzer,ZK-STARKs,Sierra,(1)=(2)=[3]=(4)=(5)=(6),"static analysis, symbolic execution",incorrect logic/semantics,none,No,Feb 2025,MIT,https://github.com/FuzzingLabs/sierra-analyzer,FuzzingLabs,https://fuzzinglabs.com/,1,"Textual output
Image (data and call flow graphs)",,"Sierra Analyzer is a toolkit for Sierra including various analysis tools based on symbolic execution and static analysis. In detail, Sierra Analyzer provides a call graph generator, a control-flow graph generator, a decompiler, and informational and security detectors. Unfortunately, the documentation does not describe exactly which vulnerabilities each detector finds. Moreover, Sierra Analyzer is no longer maintained.
Supports fetching contracts from Starknet and Scarb projects.
It is more focused on the program than the ZKP."
Thoth,ZK-STARKs,"Sierra
Starknet artifacts",[1]=(2)=(3)-(4)=(5)=(6),"static analysis, symbolic execution","under- and overflows, incorrect logic/semantics",none,No,Jan 2025,AGPLv3,https://github.com/FuzzingLabs/thoth,FuzzingLabs,https://fuzzinglabs.com/,1,"Textual output
Image (data and call flow graphs)",,"A Python toolkit for Sierra based on symbolic execution and static analysis. Thoth is similar to Sierra Analyzer (more precisely, Sierra Analyzer was developed as a more maintainable version of Thoth's Sierra analysis CLI), even though Thoth remains a separate and broader toolkit. In fact, Thoth provides disassemblers and decompilers as well as generators for call graphs, control-flow graphs, and data-flow graphs. Notably, Thoth can generate inputs for Cairo-fuzzer. Like Sierra Analyzer, also Thoth is no longer maintained.
It is more focused on the program than the ZKP."
Cairo-Fuzzer,ZK-STARKs,Starknet artifacts,(1)=(2)=[3]=(4)=(5)=(6),fuzzing and metamorphic/mutation testing,incorrect logic/semantics,randomized - output may vary,No,Feb 2025,AGPLv3,https://github.com/FuzzingLabs/cairo-fuzzer,FuzzingLabs,https://fuzzinglabs.com/,1,Textual output,,"A fuzzing analysis tool for testing (compiled) Cairo programs. Unfortunately, Cairo-Fuzzer does not document target vulnerabilities, and it is no longer maintained.
It can be used as an independent tool or as a library.
It is more focused on the program than the ZKP."
Amarna,ZK-STARKs,Cairo,(1)=[2]=(3)=(4)=(5)=(6),static analysis,"under- and overflows, incorrect logic/semantics",none,No,Oct 2022,AGPLv3,"https://github.com/crytic/amarna 
https://blog.trailofbits.com/2022/04/20/amarna-static-analysis-for-cairo-programs/","Trail of Bits
Filipe Casal",https://www.trailofbits.com/,1,Sarif output,,"Amarna is a static analyzer for Cairo. It has a set of rules (extendable) used to search for code patterns of interest, which may be security vulnerabilities or simply security-sensitive operations that need to be analyzed with greater attention when reviewing code. Amarna exports its static analysis results to the SARIF format, that can be easily integrated into VSCode to view warnings underlined in the code.
The development has stopped and seems to be superseded by Caracal.
It is more focused on the program than the ZKP."
Caracal,ZK-STARKs,"Sierra
Cairo",(1)=(2)=[3]=(4)=(5)=(6),static analysis,"under- and overflows, incorrect logic/semantics",none,Stale,Jan 2024,AGPLv3,https://github.com/crytic/caracal,Trail of Bits,https://www.trailofbits.com/,1,Textual output,,"Caracal is a static analyzer tool over the SIERRA representation for Starknet smart contracts. It allows to analyze Cairo code, the aim is to identify vulnerable and security-sensitive code. It advertises detectors for vulnerable Cairo code, printers to report information, and ease of usage within Scarb projects. Supports taint analysis and data flow analysis framework.
It is more focused on the program than the ZKP."
SnarkFuzzer (SNARKProbe),ZK-SNARKs,"arkworks
libsnark
gnark
bellman",(1)=(2)=[3]=[4]=[5]=[6],"fuzzing and metamorphic/mutation testing, dynamic analysis and instrumentation","incorrect logic/semantics, under- and overflows",randomized - output may vary,No,Jul 2024,unspecified,https://github.com/BARC-Purdue/SNARKProbe,Purdue University,"https://github.com/BARC-Purdue 
https://barc.cs.purdue.edu/
",0,Unspecified,"https://www.cs.purdue.edu/homes/clg/files/acns24.pdf

\cite{popper_snarkprobe_2024}","SnarkFuzzer is a dynamic analysis tool and fuzzer based on mutation testing techniques for various \gls{r1cs}-based \glspl{zksnarks}, focusing on the runtime stages of the \gls{zkp} pipeline. SnarkFuzzer targets implementation-level vulnerabilities, including cryptographic logic errors, software bugs, and arithmetic errors like under- and overflows. Additionally, SnarkFuzzer checks cryptographic computations against ``trusted libraries''."
